Circuit,Year,Rider,Pilihan_Ban_Depan,Pilihan_Ban_Belakang,Round,Country_x,Track,Ground,Humidity,Weather,Air Temp,Country_y,Surface_Abrasion,Grip_Level,Layout_Type,Symmetry,Dominant,Constructor,Engine_Config,Description
Lusail,2021,Maverick VIÑALES,Soft,Soft,1,Qatar,Dry,22,60,Clear,20,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Maverick VIÑALES,Soft,Soft,2,Qatar,Dry,22,61,Clear,21,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Fabio QUARTARARO,Soft,Soft,1,Qatar,Dry,22,60,Clear,20,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Fabio QUARTARARO,Soft,Soft,2,Qatar,Dry,22,61,Clear,21,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Valentino ROSSI,Soft,Soft,1,Qatar,Dry,22,60,Clear,20,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Valentino ROSSI,Soft,Soft,2,Qatar,Dry,22,61,Clear,21,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Franco MORBIDELLI,Soft,Soft,1,Qatar,Dry,22,60,Clear,20,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Franco MORBIDELLI,Soft,Soft,2,Qatar,Dry,22,61,Clear,21,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Fabio QUARTARARO,Soft,Soft,1,Qatar,Dry,22,60,Clear,20,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Fabio QUARTARARO,Soft,Soft,2,Qatar,Dry,22,61,Clear,21,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Maverick VIÑALES,Soft,Soft,1,Qatar,Dry,22,60,Clear,20,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Maverick VIÑALES,Soft,Soft,2,Qatar,Dry,22,61,Clear,21,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Franco MORBIDELLI,Soft,Soft,1,Qatar,Dry,22,60,Clear,20,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Franco MORBIDELLI,Soft,Soft,2,Qatar,Dry,22,61,Clear,21,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Valentino ROSSI,Soft,Soft,1,Qatar,Dry,22,60,Clear,20,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2021,Valentino ROSSI,Soft,Soft,2,Qatar,Dry,22,61,Clear,21,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2022,Fabio QUARTARARO,Soft,Medium,1,Qatar,Dry,28,53,Clear,23,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2022,Franco MORBIDELLI,Soft,Soft,1,Qatar,Dry,28,53,Clear,23,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2023,Fabio QUARTARARO,Soft,Hard,19,Qatar,Dry,28,59,Clear,26,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2023,Franco MORBIDELLI,Soft,Hard,19,Qatar,Dry,28,59,Clear,26,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2024,Fabio QUARTARARO,Medium,Medium,1,Qatar,Dry,26,66,Clear,22,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2024,Alex RINS,Medium,Medium,1,Qatar,Dry,26,66,Clear,22,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2025,Fabio QUARTARARO,Medium,Medium,4,Qatar,Dry,33,40,Clear,28,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Lusail,2025,Alex RINS,Medium,Medium,4,Qatar,Dry,33,40,Clear,28,Qatar,5,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Jerez,2021,Franco MORBIDELLI,Medium,Medium,3,Spain,Dry,41,36,Clear,22,Spain,3,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Jerez,2021,Maverick VIÑALES,Soft,Medium,3,Spain,Dry,41,36,Clear,22,Spain,3,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Jerez,2021,Fabio QUARTARARO,Medium,Medium,3,Spain,Dry,41,36,Clear,22,Spain,3,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Jerez,2021,Valentino ROSSI,Medium,Medium,3,Spain,Dry,41,36,Clear,22,Spain,3,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Jerez,2022,Fabio QUARTARARO,Hard,Medium,6,Spain,Dry,44,35,Clear,27,Spain,3,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Jerez,2022,Franco MORBIDELLI,Hard,Medium,6,Spain,Dry,44,35,Clear,27,Spain,3,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Jerez,2023,Fabio QUARTARARO,Hard,Medium,4,Spain,Dry,33,40,Clear,28,Spain,3,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Jerez,2023,Franco MORBIDELLI,Medium,Medium,4,Spain,Dry,33,40,Clear,28,Spain,3,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Jerez,2024,Alex RINS,Medium,Medium,4,Spain,Dry,39,37,Clear,20,Spain,3,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Jerez,2024,Fabio QUARTARARO,Medium,Medium,4,Spain,Dry,39,37,Clear,20,Spain,3,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Jerez,2025,Fabio QUARTARARO,Medium,Medium,5,Spain,Dry,44,51,Clear,25,Spain,3,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Jerez,2025,Alex RINS,Medium,Medium,5,Spain,Dry,44,51,Clear,25,Spain,3,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Le Mans,2021,Fabio QUARTARARO,Soft,Soft,4,France,Dry,31,63,Partly Cloudly,17,France,2,4,Stop & Go,Asymmetric,Right,Yamaha,Inline-4,First Team
Le Mans,2021,Maverick VIÑALES,Soft,Soft,4,France,Dry,31,63,Partly Cloudly,17,France,2,4,Stop & Go,Asymmetric,Right,Yamaha,Inline-4,First Team
Le Mans,2021,Valentino ROSSI,Soft,Soft,4,France,Dry,31,63,Partly Cloudly,17,France,2,4,Stop & Go,Asymmetric,Right,Yamaha,Inline-4,First Team
Le Mans,2021,Franco MORBIDELLI,Soft,Soft,4,France,Dry,31,63,Partly Cloudly,17,France,2,4,Stop & Go,Asymmetric,Right,Yamaha,Inline-4,First Team
Le Mans,2022,Fabio QUARTARARO,Medium,Soft,7,France,Dry,36,41,Partly Cloudly,28,France,2,4,Stop & Go,Asymmetric,Right,Yamaha,Inline-4,First Team
Le Mans,2022,Franco MORBIDELLI,Medium,Soft,7,France,Dry,36,41,Partly Cloudly,28,France,2,4,Stop & Go,Asymmetric,Right,Yamaha,Inline-4,First Team
Le Mans,2023,Fabio QUARTARARO,Soft,Soft,5,France,Dry,39,61,Partly Cloudly,20,France,2,4,Stop & Go,Asymmetric,Right,Yamaha,Inline-4,First Team
Le Mans,2023,Franco MORBIDELLI,Soft,Soft,5,France,Dry,39,61,Partly Cloudly,20,France,2,4,Stop & Go,Asymmetric,Right,Yamaha,Inline-4,First Team
Le Mans,2024,Alex RINS,Hard,Soft,5,France,Dry,29,68,Cloudly,21,France,2,4,Stop & Go,Asymmetric,Right,Yamaha,Inline-4,First Team
Le Mans,2024,Fabio QUARTARARO,Hard,Soft,5,France,Dry,29,68,Cloudly,21,France,2,4,Stop & Go,Asymmetric,Right,Yamaha,Inline-4,First Team
Le Mans,2025,Alex RINS,Medium,Medium,6,France,Wet,19,82,Heavy Rain,16,France,2,4,Stop & Go,Asymmetric,Right,Yamaha,Inline-4,First Team
Le Mans,2025,Fabio QUARTARARO,Soft,Soft,6,France,Wet,19,82,Heavy Rain,16,France,2,4,Stop & Go,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Fabio QUARTARARO,Medium,Hard,5,Portugal,Dry,41,30,Clear,25,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Fabio QUARTARARO,Medium,Hard,17,Portugal,Dry,29,21,Clear,21,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Franco MORBIDELLI,Medium,Hard,5,Portugal,Dry,41,30,Clear,25,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Franco MORBIDELLI,Medium,Hard,17,Portugal,Dry,29,21,Clear,21,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Maverick VIÑALES,Medium,Hard,5,Portugal,Dry,41,30,Clear,25,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Maverick VIÑALES,Medium,Hard,17,Portugal,Dry,29,21,Clear,21,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Valentino ROSSI,Medium,Hard,5,Portugal,Dry,41,30,Clear,25,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Valentino ROSSI,Medium,Hard,17,Portugal,Dry,29,21,Clear,21,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Valentino ROSSI,Medium,Hard,5,Portugal,Dry,41,30,Clear,25,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Valentino ROSSI,Medium,Hard,17,Portugal,Dry,29,21,Clear,21,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Andrea DOVIZIOSO,Medium,Hard,5,Portugal,Dry,41,30,Clear,25,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Andrea DOVIZIOSO,Medium,Hard,17,Portugal,Dry,29,21,Clear,21,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Franco MORBIDELLI,Medium,Hard,5,Portugal,Dry,41,30,Clear,25,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Franco MORBIDELLI,Medium,Hard,17,Portugal,Dry,29,21,Clear,21,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Fabio QUARTARARO,Medium,Medium,5,Portugal,Dry,41,30,Clear,25,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2021,Fabio QUARTARARO,Medium,Medium,17,Portugal,Dry,29,21,Clear,21,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2022,Fabio QUARTARARO,Medium,Medium,5,Portugal,Dry,26,70,Cloudly,18,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2022,Franco MORBIDELLI,Medium,Medium,5,Portugal,Dry,26,70,Cloudly,18,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2023,Fabio QUARTARARO,Medium,Medium,1,Portugal,Dry,36,60,Clear,22,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2023,Franco MORBIDELLI,Medium,Medium,1,Portugal,Dry,36,60,Clear,22,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2024,Fabio QUARTARARO,Hard,Medium,2,Portugal,Dry,30,40,Cloudly,24,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2024,Alex RINS,Hard,Medium,2,Portugal,Dry,30,40,Cloudly,24,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2025,Fabio QUARTARARO,Hard,Medium,21,Portugal,Dry,28,52,Clear,20,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Algarve,2025,Alex RINS,Medium,Medium,21,Portugal,Dry,28,52,Clear,20,Portugal,4,4,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Mugello,2021,Fabio QUARTARARO,Medium,Medium,6,Italy,Dry,42,30,Clear,23,Italy,4,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Mugello,2021,Maverick VIÑALES,Medium,Medium,6,Italy,Dry,42,30,Clear,23,Italy,4,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Mugello,2021,Valentino ROSSI,Medium,Medium,6,Italy,Dry,42,30,Clear,23,Italy,4,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Mugello,2021,Franco MORBIDELLI,Medium,Medium,6,Italy,Dry,42,30,Clear,23,Italy,4,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Mugello,2022,Fabio QUARTARARO,Hard,Medium,8,Italy,Dry,36,40,Partly Cloudly,22,Italy,4,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Mugello,2022,Franco MORBIDELLI,Hard,Medium,8,Italy,Dry,36,40,Partly Cloudly,22,Italy,4,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Mugello,2023,Franco MORBIDELLI,Hard,Soft,6,Italy,Dry,45,53,Partly Cloudly,27,Italy,4,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Mugello,2023,Fabio QUARTARARO,Hard,Medium,6,Italy,Dry,45,53,Partly Cloudly,27,Italy,4,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Mugello,2024,Alex RINS,Medium,Soft,7,Italy,Dry,38,47,Cloudly,22,Italy,4,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
Mugello,2024,Fabio QUARTARARO,Medium,Soft,7,Italy,Dry,38,47,Cloudly,22,Italy,4,5,Flowing,Asymmetric,Right,Yamaha,Inline-4,First Team
